City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,port augusta,-32.5,137.7667,11.51,86,96,2.91,AU,1687905400
215,shahba,32.8551,36.629,17.77,53,0,4.98,SY,1687905400
216,callao,-12.0667,-77.15,22.62,68,75,6.17,PE,1687905117
217,estevan,49.1334,-102.9842,27.9,50,0,2.06,CA,1687905400
218,acapulco de juarez,16.8634,-99.8901,31.9,66,20,5.14,MX,1687905234
219,sinop,41.7711,34.8709,14.76,56,0,2.52,TR,1687905400
220,hamilton,39.1834,-84.5333,24.39,69,100,4.63,US,1687905401
221,fort bragg,35.139,-79.006,32.08,46,20,6.17,US,1687905401
222,port saint john's,-31.6229,29.5448,18.23,88,100,6.17,ZA,1687905401
223,coquimbo,-29.9533,-71.3436,15.85,77,0,3.09,CL,1687905401
224,craig,40.5153,-107.5464,28.97,7,0,12.35,US,1687905401
225,ust'-ilimsk,58.0006,102.6619,11.93,80,100,2.02,RU,1687905401
226,quelimane,-17.8786,36.8883,17.97,88,20,1.03,MZ,1687905402
227,itoman,26.1247,127.6694,28.01,83,75,5.14,JP,1687905402
228,amos,48.5669,-78.1162,11.64,98,100,4.84,CA,1687905294
229,mawu,29.5923,107.3139,23.46,87,100,2.04,CN,1687905402
230,mogadishu,2.0371,45.3438,25.05,84,10,6.69,SO,1687905250
231,chernyshevskiy,63.0128,112.4714,18.7,58,95,0.7,RU,1687905402
232,tynda,55.1667,124.7167,16.29,96,100,1.03,RU,1687905133
233,caldwell,43.6629,-116.6874,28.21,37,0,4.63,US,1687905210
234,mili,6.0815,171.735,27.05,86,100,6.14,MH,1687905403
235,crucecita,-28.95,-58.9833,22.99,56,6,3.17,AR,1687905403
236,tralee,52.2704,-9.7026,16.43,97,100,1.93,IE,1687905403
237,potosi,-19.5836,-65.7531,12.48,35,0,2.06,BO,1687905404
238,fuglafjordur,62.244,-6.814,11.26,96,100,3.98,FO,1687905404
239,dul'durga,50.6761,113.5931,11.48,70,87,4.56,RU,1687905404
240,prineville,44.2999,-120.8345,27.4,27,0,6.17,US,1687905404
241,sinabang,2.4803,96.3801,25.89,84,98,0.95,ID,1687905404
242,amalapuram,16.5833,82.0167,28.2,75,100,2.64,IN,1687905404
243,plainview,40.7765,-73.4673,25.82,82,0,4.63,US,1687905297
244,enriquillo,17.9,-71.2333,27.93,75,79,1.83,DO,1687905404
245,coahuayana de hidalgo,18.7,-103.6583,33.0,59,70,3.62,MX,1687905405
246,anna regina,7.2644,-58.5077,26.89,82,87,3.57,GY,1687905405
247,lata,40.1629,-8.3327,23.29,83,0,0.6,PT,1687905220
248,lhokseumawe,5.1801,97.1507,25.13,87,98,1.74,ID,1687905405
249,de aar,-30.6497,24.0123,9.46,80,100,2.53,ZA,1687905406
250,camana,-16.6228,-72.7111,17.21,80,51,2.08,PE,1687905406
251,xining,36.6167,101.7667,13.53,72,100,0.83,CN,1687905406
252,moranbah,-22.0016,148.0466,20.98,67,37,1.32,AU,1687905406
253,stanley,54.868,-1.6985,16.01,92,40,1.03,GB,1687905171
254,praia,14.9215,-23.5087,25.3,73,20,6.17,CV,1687905406
255,ta`u,-14.2336,-169.5144,27.69,72,94,6.42,AS,1687905163
256,minusinsk,53.7103,91.6875,11.01,68,60,1.88,RU,1687905407
257,paita,-5.0892,-81.1144,23.49,78,47,8.9,PE,1687905407
258,geraldton,-28.7667,114.6,6.23,75,0,2.06,AU,1687905367
259,el granada,37.5027,-122.4694,24.23,75,75,7.72,US,1687905407
260,floro,61.5996,5.0328,14.02,88,20,3.09,NO,1687905407
261,navoiy,40.0844,65.3792,27.71,24,0,4.12,UZ,1687905408
262,kapuskasing,49.4169,-82.4331,20.05,32,40,7.2,CA,1687905300
263,peniche,39.3558,-9.3811,20.72,92,0,7.76,PT,1687905408
264,punta arenas,-53.15,-70.9167,1.06,93,100,6.69,CL,1687905273
265,talcahuano,-36.7167,-73.1167,11.82,82,20,1.54,CL,1687905408
266,tazovsky,67.4667,78.7,6.91,89,98,3.21,RU,1687905175
267,san luis,-33.295,-66.3356,10.58,40,32,6.92,AR,1687905408
268,vila franca do campo,37.7167,-25.4333,21.23,88,5,6.2,PT,1687905409
269,otyniya,48.7377,24.8611,12.66,88,100,2.29,UA,1687905409
270,marsh harbour,26.5412,-77.0636,28.73,73,8,3.29,BS,1687905312
271,dupnitsa,42.2667,23.1167,18.27,86,3,0.9,BG,1687905409
272,ponta delgada,37.7333,-25.6667,21.4,88,20,5.66,PT,1687905338
273,purkersdorf,48.1951,16.1626,16.64,74,100,1.99,AT,1687905409
274,menongue,-14.6585,17.691,11.68,40,2,1.39,AO,1687905409
275,north bend,43.4065,-124.2243,22.91,72,75,6.17,US,1687905409
276,paradip garh,20.3167,86.6167,29.01,77,100,7.31,IN,1687905410
277,kosh-agach,50.0,88.6667,10.33,56,74,1.13,RU,1687905410
278,udachny,66.4167,112.4,19.75,39,75,4.8,RU,1687905410
279,necochea,-38.5473,-58.7368,8.41,89,87,5.28,AR,1687905410
280,guiyang,26.5833,106.7167,23.27,78,75,8.0,CN,1687905410
281,bamboo flat,11.7,92.7167,27.97,83,100,3.48,IN,1687905411
282,goba,7.0167,39.9833,10.24,85,18,1.96,ET,1687905411
283,paraty,-23.2178,-44.7131,21.12,59,0,1.67,BR,1687905411
284,verkhnyaya tura,58.3594,59.8175,9.22,92,32,1.97,RU,1687905411
285,plymouth,41.8334,-70.8328,23.45,79,100,4.63,US,1687905248
286,krasnoslobodsk,48.7072,44.5714,17.9,94,75,4.0,RU,1687905411
287,placido de castro,-10.3353,-67.1856,25.91,57,0,1.09,BR,1687905411
288,nova vicosa,-17.8919,-39.3719,22.27,81,4,2.91,BR,1687905411
289,artesia,33.8658,-118.0831,32.16,57,0,4.63,US,1687905411
290,minas de marcona,-15.2119,-75.1103,12.88,80,2,5.25,PE,1687905412
291,ishim,56.1128,69.4902,10.26,84,85,5.67,RU,1687905412
292,kuusamo,65.9667,29.1833,14.02,94,0,2.06,FI,1687905412
293,macapa,0.0389,-51.0664,25.48,83,49,3.21,BR,1687905129
294,san luis de la loma,17.2706,-100.8939,31.08,65,32,3.63,MX,1687905167
295,caras,-9.0467,-77.8114,17.68,67,13,1.22,PE,1687905412
296,cabo san lucas,22.8909,-109.9124,34.54,55,20,7.72,MX,1687905212
297,wewak,-3.5534,143.6268,26.85,84,72,3.57,PG,1687905412
298,faya-largeau,17.9257,19.1043,33.56,12,4,5.06,TD,1687905413
299,manado,1.487,124.8455,25.43,94,40,1.54,ID,1687905413
300,freetown,8.484,-13.2299,25.16,87,100,4.24,SL,1687905413
301,lobujya,27.95,86.8167,2.0,94,93,0.51,NP,1687905413
302,bardai,11.65,7.2333,25.27,73,97,4.46,NG,1687905162
303,east london,-33.0153,27.9116,17.13,84,100,9.94,ZA,1687905414
304,inarajan village,13.2736,144.7484,30.22,87,97,6.03,GU,1687905414
305,antofagasta,-23.65,-70.4,16.6,89,50,1.76,CL,1687905364
306,ancud,-41.8697,-73.8203,8.99,86,29,7.04,CL,1687905171
307,pariaman,-0.619,100.12,25.03,87,85,1.58,ID,1687905414
308,eichstatt,48.8833,11.1833,17.23,52,75,2.06,DE,1687905414
309,tangalle,6.024,80.7911,25.6,83,100,3.35,LK,1687905415
310,tonota,-21.4833,27.4833,12.15,34,0,3.86,BW,1687905200
311,mil'kovo,55.6078,37.7956,16.22,90,100,1.36,RU,1687905142
312,uturoa,-16.7333,-151.4333,26.81,71,0,10.64,PF,1687905415
313,tolanaro,-25.0319,46.9987,16.04,94,20,2.06,MG,1687905415
314,tongchuan,35.0806,109.0897,21.73,88,100,0.56,CN,1687905415
315,hino,35.6731,139.4003,27.42,75,0,1.34,JP,1687905415
316,kapchorwa,1.3965,34.4509,13.1,89,25,1.61,UG,1687905415
317,morant bay,17.8815,-76.4093,29.79,80,100,3.71,JM,1687905416
318,ajaccio,42.0,8.9167,20.03,78,0,2.06,FR,1687905416
319,dunedin,-45.8742,170.5036,11.0,97,100,4.02,NZ,1687905391
320,ghanzi,-21.5667,21.7833,11.24,36,1,5.24,BW,1687905416
321,howrah,22.5892,88.3103,26.0,94,75,4.63,IN,1687905416
322,pizarro,4.9533,-77.366,27.12,82,77,2.74,CO,1687905416
323,praia da vitoria,38.7333,-27.0667,21.53,88,75,6.26,PT,1687905416
324,sumbawa besar,-8.5,117.4333,22.18,92,40,1.92,ID,1687905417
325,linxia chengguanzhen,35.6003,103.2064,15.35,72,100,0.29,CN,1687905417
326,island harbour,50.724,-1.2758,19.02,89,98,1.79,GB,1687905417
327,lagunas,-5.2269,-75.6753,27.07,71,88,0.58,PE,1687905417
328,longyearbyen,78.2186,15.6401,7.91,87,75,1.54,SJ,1687905158
329,scottburgh,-30.2867,30.7532,18.04,87,96,4.58,ZA,1687905418
330,mostaganem,35.9311,0.0892,27.15,51,0,1.76,DZ,1687905418
331,inhambane,-23.865,35.3833,19.18,75,0,2.78,MZ,1687905418
332,carnarvon,-24.8667,113.6333,11.47,65,0,7.61,AU,1687905418
333,susuman,62.7833,148.1667,17.51,65,95,2.64,RU,1687905199
334,borogontsy,62.6683,131.1683,22.01,73,13,1.97,RU,1687905419
335,puerto deseado,-47.7503,-65.8938,5.7,81,100,1.44,AR,1687905419
336,klyuchi,52.2667,79.1667,13.92,78,32,6.02,RU,1687905147
337,kayabaglar,37.9825,41.6653,21.29,26,0,0.85,TR,1687905419
338,kutum,14.2,24.6667,27.35,45,74,6.34,SD,1687905420
339,westport,41.1415,-73.3579,25.71,78,0,4.12,US,1687905258
340,urengoy,65.9667,78.3667,10.32,85,100,1.23,RU,1687905420
